Code,Company,City,Country
AAAU,ASIA CONTAINER LEASING CO LTD,WAN CHAI,HK
AACU,ACE GLOBAL LINES DWC - LLC,DUBAI,United Arab Emirates
AAFU,BUNDESMINISTERIUM FUR LANDESVERTEIDIGUNG,WIEN,Austria
AAGU,MTU ONSITE ENERGY SYSTEMS GMBH,RUHSTORF,Germany
AAIU,A.A SHIPPING LTD,TEL AVIV,Israel
AAMU,"ALBATROSS TANK-LEASING CO., LIMITED",HONG KONG,HK
AATU,AMFICO AGENCIES PVT LTD,Mumbai,India
ABBU,ATLANTIC BULK CARRIERS MANAGMENT LTD,"NEW YORK, NY 10019",United States
ABCU,ABC MOBILE STORAGE,"NORFOLK, NE-69702",United States
ABEU,L & T B.V.,'s-Hertogenbosch,Netherlands
ABLU,ETAT-MAJOR DES FORCES ARMEES BELGES,BRUSSELS,Belgium
ABMU,RM RAIL ABAKANVAGONMASH,ABAKAN,Russian Federation
ABYU,ABBEY LOGISTICS GROUP,LIVERPOOL,United Kingdom
ACAU,ARCTIC CONTAINER OY,HELSINKI,Finland
ACBU,ACB CONTAINERS NV,Antwerpen,Belgium
ACCU,ATLANTIC COAST CONTAINER,"GREENVILLE, SC-29609",United States
ACDU,DESOTEC NV,ROESELARE,Belgium
ACEU,ACE CONTAINER SERVICES LTD,"LEEDS, LS10 1RT",United Kingdom
ACLU,ATLANTIC CONTAINER LINE,"WESTFIELD, NJ 07090",United States
ACNU,NOURYON FUNCTIONAL CHEMICALS,Rotterdam,Netherlands
ACOU,"COMPAÑIA LOGISTICA ACOTRAL, S.A.U.",Antequera,Spain
ACRU,ACCIPITER OILFIELD EQUIPMENT,DALIAN,China
ACSU,COMMONWEALTH INDEPENDENT,"MONTREAL, QC",Canada
ACWU,AIGA CONCEPT,viseu,Portugal
ACXU,G2 OCEAN AS,Bergen,Norway
ADBU,AGROCEL INDUSTRIES PVT LTD.,Bhuj,India
ADHU,ADHOC S.R.L,VENICE,Italy
ADLU,QINGDAO IRFAN INTERNATIONAL LOGISTICS CO LTD,Qingdao,China
ADMU,ADMIRAL CONTAINER LINES INC LIMITED,VALLETTA,Malta
ADRU,BARCELONESA DE DROGAS Y PRODUCTOS QUIMICOS SA,CORNELLA DE LLOBREGAT,Spain
ADSU,ADS Finland Oy,Kerava,Finland
ADTU,ADEN TRANSEXIM SRL,Chisinau,"Moldova, Republic of"
ADXU,APPLIED CRYO TECHNOLOGIES,"HOUSTON, TX-77075",United States
ADYU,ADY CONTAINER LLC,Baku,Azerbaijan
AEGU,AEGEUS ENERGY SOLUTIONS LTD,Tadcaster,United Kingdom
AELU,MITSUBISHI CHEMICAL CORPORATION,TOKYO,Japan
AERU,AEROSOLEX LLC,Dzerzhinsk (Nizhniy Novgorod region),Russian Federation
AESU,AES ANDRES,Santo Domingo,Dominican Republic
AEVU,INNOLITH AG,Basel,Switzerland
AEXU,AFRICA EXPRESS LINE LTD,Kent ME19 4UY,United Kingdom
AFBU,AFFILIPS NV,TIENEN,Belgium
AFIU,AGMARK CAPITAL HOLDINGS INC.,"NASHVILLE, TN 37201",United States
AFLU,AIR FLOW,ROUSSET,France
AFMU,ALFIL LOGISTICS S.A.,EL PRAT DE LLOBREGAT,Spain
AFSU,L'AUTOFRIGO SUD SRL,MONOPOLI,Italy
AGAU,LINDE GAS BENELUX,SCHIEDAM,Netherlands
AGBU,ARCHEAN CHEMICAL INDUSTRIES PRIVATE LIMITED,"CHENNAI , TAMILNADU",India
AGCU,GREIWING LOGISTICS FOR YOU GMBH,GREVEN,Germany
AGFU,THE ARABIAN INDUSTRIAL GASES CO LLC DUBAI BRANCH,DUBAI,United Arab Emirates
AGGU,ALISTAIR JAMES COMPANY,Dar es Salaam,"Tanzania, United Republic of"
AGHU,AFRICA GLOBAL LOGISTICS,ROUBAIX,France
AGKU,AGGREKO MANUFACTURING,DUMBARTON G82 3RG,United Kingdom
AGLU,AGUNSA-AGENCIA UNIVERSALES S.A,SANTIAGO,Chile
AGMU,AGMARK CAPITAL HOLDINGS INC.,"NASHVILLE, TN 37201",United States
AGNU,ANGA SP. Z.O.O.,Gdansk,Poland
AGOU,AIRGAS USA LLC.,"Tulsa, OK 74120-1633",United States
AGPU,A-GAS (UK) LTD,"BRISTOL, BS20 7XH",United Kingdom
AGSU,LINDE GAS AB,MITCHELDEAN,United Kingdom
AGVU,AGROTRUST GMBH,Visbek,Germany
AGXU,AGT KONTEYNER LTD STI,Istanbul (Bahçelievler),Turkey
AHGU,AL GHAITH INDUSTRIES L.L.C,Abu Dhabi,United Arab Emirates
AHLU,ABNORMAL LOAD ENGINEERING LIMITED,HIXON,United Kingdom
AICU,ALLIED CONTAINER LINE PTE LTD,SINGAPORE,Singapore
AIDU,ALBEMARLE CORPORATION,"BATON ROUGE, LA 70801",United States
AIGU,"AIRGGAS USA, LLC","Tulsa, OK 74120-1633",United States
AILU,ARMITA INDIA SHIPPING PVT LTD,Mumbai,India
AIMU,TRS CONTAINERS & CHASSIS,"AVENEL, NJ 0700-0188",United States
AIPU,A.I.P.P INDUSTRIES LTD,Kfar qari,Israel
AIRU,AIR PRODUCTS,"ALLENTOWN, PA 18195",United States
AISU,AZIENDA SERVIZI TRASPORTI LOGISTICA S.R.L.,SPINADESCO (CR),Italy
AITU,ARKEMA B.V. – LOCATION ROTTERDAM,Vondelingenplaat,Netherlands
AIYU,AIYER SHIPPING CONTAINER LINE,DUBAI,United Arab Emirates
AKAU,PE ANYKIEIENKO KONSTIANTYN,DNIPRO CITY (DNIPROPETROVSK REGION),Ukraine
AKBU,ALLNEX RESINS NETHERLANDS BV,BERGEN OP ZOOM,Netherlands
AKKU,AKKON DENIZCILIK NAKLIYAT VE TICARET A.S.,?stanbul,Turkey
AKLU,KAWASAKI KISEN KAISHA LTD - K LINE,TOKYO,Japan
AKMU,ALTALOGOS LLC,EKATERINBURG,Russian Federation
AKOU,HONG KONG SPECIALITY GASES CO.LTD,"CHEUNG SHAWAN, KLN",HK
AKVU,AKVAZASHITA LLC,KALININGRAD,Russian Federation
ALAU,JSC EKOPET,KALININGRAD,Russian Federation
ALBU,ALBLAS INT. TRANSPORT BV,'S GRAVENDEEL,Netherlands
ALCU,AARTI INDUSTRIES LIMITED,MULUND WEST MUMBAI,India
ALEU,AIR LIQUIDE ELECTRONICS U.S. LP,"MORRISVILLE, PA 19067",United States
ALFU,AIR LIQUIDE FAR EASTERN LTD,WUCHI /TAICHUNG,"Taiwan, China"
ALGU,AIR LIQUIDE GLOBAL HELIUM FZE,DUBAI,United Arab Emirates
ALHU,AIR LIQUIDE TRINIDAD & TOBAGO LIMITED,POINT LISAS,Trinidad and Tobago
ALIU,"UNIVERSAL FOREST PRODUCTS, INC.","MEDLEY, FL 33178",United States
ALJU,AIR LIQUIDE JAPAN LTD,TOKYO,Japan
ALKU,ALTUN LOJISTIK A.S.,MERSIN,Turkey
ALLU,ALCONET BV,ROTTERDAM,Netherlands
ALMU,ALMAR CONTAINER INVESTMENTS INC.,DURBAN,South Africa
